iso3_country,start_time,end_time,original_inventory_sector,gas,location,total_emission,year
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,bauxite-mining,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,bauxite-mining,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,bauxite-mining,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,bauxite-mining,co2e_20yr,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,cement,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,cement,co2,Eastern Cape,33931.9110879219,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,cement,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,cement,co2e_20yr,Eastern Cape,33931.9110879219,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,coal-mining,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,coal-mining,co2,Eastern Cape,0.000557120665115861,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,coal-mining,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,coal-mining,co2e_20yr,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,copper-mining,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,copper-mining,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,copper-mining,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,copper-mining,co2e_20yr,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,cropland-fires,n2o,Eastern Cape,0.528446645616681,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,cropland-fires,co2,Eastern Cape,11437.0952986653,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,cropland-fires,ch4,Eastern Cape,20.3829407753079,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,cropland-fires,co2e_20yr,Eastern Cape,13236.4549380195,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,domestic-aviation,n2o,Eastern Cape,0.23093482216004,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,domestic-aviation,co2,Eastern Cape,8236.50155785246,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,domestic-aviation,ch4,Eastern Cape,0.0577337055400099,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,domestic-aviation,co2e_20yr,Eastern Cape,8304.28751132731,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,electricity-generation,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,electricity-generation,co2,Eastern Cape,30070,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,electricity-generation,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,electricity-generation,co2e_20yr,Eastern Cape,30070,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,international-aviation,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,international-aviation,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,international-aviation,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,international-aviation,co2e_20yr,Eastern Cape,0.189271552064,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,iron-mining,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,iron-mining,co2,Eastern Cape,55.2307130596914,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,iron-mining,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,iron-mining,co2e_20yr,Eastern Cape,55.2307130596914,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,oil-and-gas-refining,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,oil-and-gas-refining,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,oil-and-gas-refining,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,oil-and-gas-refining,co2e_20yr,Eastern Cape,22.5955244864725,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,rice-cultivation,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,rice-cultivation,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,rice-cultivation,ch4,Eastern Cape,0.36804527483716,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,rice-cultivation,co2e_20yr,Eastern Cape,29.7380582068426,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,road-transportation,n2o,Eastern Cape,15.1854173956346,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,road-transportation,co2,Eastern Cape,1058447.26598671,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,road-transportation,ch4,Eastern Cape,21.6807771729256,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,road-transportation,co2e_20yr,Eastern Cape,1064362.57473504,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,solid-waste-disposal,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,solid-waste-disposal,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,solid-waste-disposal,ch4,Eastern Cape,4730.03124021827,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,solid-waste-disposal,co2e_20yr,Eastern Cape,384077.961096629,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,synthetic-fertilizer-application,n2o,Eastern Cape,65.4273397504894,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,synthetic-fertilizer-application,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,synthetic-fertilizer-application,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,synthetic-fertilizer-application,co2e_20yr,Eastern Cape,17861.6637518836,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,wetland-fires,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,wetland-fires,co2,Eastern Cape,246.713906416667,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,wetland-fires,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,wetland-fires,co2e_20yr,Eastern Cape,246.713906416667,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,aluminum,n2o,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,aluminum,co2,Eastern Cape,819.861874268373,2022
